folio,bandera,tipo_evento,fecha_evento,texto_iniciativa
975,Revisar: texto bajo,Estudio,2025-11-13,Iniciativa con Proyecto de decreto por el que se deroga la fracción II del artículo 96 y se reforma el artículo 113 de la Ley Orgánica Municipal del Estado de México; se deroga la fracción X del artículo 13 de la Ley de Fiscalización Superior del Estado de México.
1020,Revisar: texto bajo,Dictamen,2025-11-18,"Informe de la Cuenta Pública Estatal del Ejercicio Fiscal 2024, por parte del Órgano Superior de Fiscalización."
1021,Revisar: texto bajo,Dictamen,2025-11-18,"Informes de las Cuentas Públicas Municipal del Ejercicio Fiscal 2024, por parte del Órgano Superior de Fiscalización."
1027,Revisar: familia ambigua,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1027,Revisar: familia ambigua,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1028,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1028,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1029,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1029,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1030,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1030,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1031,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1031,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1032,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1032,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1033,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1033,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1034,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1034,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1035,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1035,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1036,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1036,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1037,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1037,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1038,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1038,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1039,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1039,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1040,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1040,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1041,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1041,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1042,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1042,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1043,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1043,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1044,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1044,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1045,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1045,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1046,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1046,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1047,Revisar: texto bajo,Estudio,2025-11-21,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1047,Revisar: texto bajo,Dictamen,2025-11-25,Iniciativa de Tarifas de Agua diferentes a las del Código Financiero del Estado de México y Municipios.
1062,Revisar: texto bajo,Dictamen,2025-11-25,"Iniciativa con Proyecto de Decreto por la que se adicionan las fracciones X y XI al artículo 9, se adiciona la fracción XXX, XXXI, XXXII recorriendo la subsecuente del artículo 13 y se adiciona el inciso c a la fracción V del Artículo 31 de la Ley de la Juventud del Estado de México."
1108,Revisar: texto bajo,Dictamen,2026-01-13,Iniciativa de Decreto por el que se reforman diversas disposiciones de la Constitución Política del Estado Libre y Soberano de México.
1145,Revisar: texto bajo,Dictamen,2026-02-19,"Iniciativa con Proyecto de Decreto por la que se reforma el segundo párrafo de la fracción XXIII del artículo 31, se adiciona la fracción VIII, recorriéndose la subsecuente al artículo 96 Octies de la Ley Orgánica Municipal del Estado de México."
1180,Revisar: texto bajo,Dictamen,2026-04-08,Iniciativa con Proyecto de Decreto que adiciona la fracción XXXVI del Artículo 31 recorriendo la subsecuente de la Ley Orgánica de la Administración Pública del Estado de México y la fracción XXXIX del Artículo 11 Quater recorriendo la subsecuente de la Ley de Gobierno Digital del Estado de México y Municipios.
1217,Revisar: texto bajo,Dictamen,2026-04-08,"Iniciativa con Proyecto de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley de Amnistía del Estado de México."
